"","p","df_1_2","df_1_3","s","support","confidence","lift","count"
"1","",NA,NA,"I31",0.165560357942207,0.165560357942207,1,198612
"2","",NA,NA,"I44",0.165507841968599,0.165507841968599,1,198549
"3","",NA,NA,"I46",0.165820437049603,0.165820437049603,1,198924
"4","",NA,NA,"I27",0.165820437049603,0.165820437049603,1,198924
"5","",NA,NA,"I34",0.165672892171369,0.165672892171369,1,198747
"6","",NA,NA,"I38",0.165761252380933,0.165761252380933,1,198853
"7","",NA,NA,"I25",0.165667890650073,0.165667890650073,1,198741
"8","",NA,NA,"I20",0.165637881522296,0.165637881522296,1,198705
"9","",NA,NA,"I47",0.165716238689268,0.165716238689268,1,198799
"10","",NA,NA,"I26",0.165831273679077,0.165831273679077,1,198937
"11","",NA,NA,"I33",0.165672058584486,0.165672058584486,1,198746
"12","",NA,NA,"I29",0.165897127042809,0.165897127042809,1,199016
"13","",NA,NA,"I24",0.165851279764262,0.165851279764262,1,198961
"14","",NA,NA,"I43",0.166173877887858,0.166173877887858,1,199348
"15","",NA,NA,"I32",0.165921301062406,0.165921301062406,1,199045
"16","",NA,NA,"I21",0.165845444656083,0.165845444656083,1,198954
"17","",NA,NA,"I39",0.165836275200373,0.165836275200373,1,198943
"18","",NA,NA,"I41",0.166148036694495,0.166148036694495,1,199317
"19","",NA,NA,"I36",0.166218057992639,0.166218057992639,1,199401
"20","",NA,NA,"I48",0.166008827685088,0.166008827685088,1,199150
"21","",NA,NA,"I23",0.166182213756684,0.166182213756684,1,199358
"22","",NA,NA,"I45",0.166055508550517,0.166055508550517,1,199206
"23","",NA,NA,"I35",0.166179712996036,0.166179712996036,1,199355
"24","",NA,NA,"I40",0.166028000183389,0.166028000183389,1,199173
"25","",NA,NA,"I37",0.166237230490941,0.166237230490941,1,199424
"26","",NA,NA,"I42",0.16639561199865,0.16639561199865,1,199614
"27","",NA,NA,"I28",0.166241398425354,0.166241398425354,1,199429
"28","",NA,NA,"I49",0.166252235054829,0.166252235054829,1,199442
"29","",NA,NA,"I22",0.166432289821487,0.166432289821487,1,199658
"30","",NA,NA,"I30",0.16646730047056,0.16646730047056,1,199700
"31","",NA,NA,"F18",0.16706831661297,0.16706831661297,1,200421
"32","",NA,NA,"F15",0.165924635409937,0.165924635409937,1,199049
"33","",NA,NA,"F6",0.165924635409937,0.165924635409937,1,199049
"34","",NA,NA,"F1",0.16650481188028,0.16650481188028,1,199745
"35","",NA,NA,"F9",0.166478970686917,0.166478970686917,1,199714
"36","",NA,NA,"F4",0.2505978901916,0.2505978901916,1,300626
"37","",NA,NA,"F19",0.2505978901916,0.2505978901916,1,300626
"38","",NA,NA,"F16",0.249429201382087,0.249429201382087,1,299224
"39","",NA,NA,"F3",0.25000937785243,0.25000937785243,1,299920
"40","",NA,NA,"F14",0.249454208988567,0.249454208988567,1,299254
"41","",NA,NA,"F7",0.249983536659067,0.249983536659067,1,299889
"42","",NA,NA,"F11",0.249983536659067,0.249983536659067,1,299889
"43","",NA,NA,"F5",0.333017959629387,0.333017959629387,1,399500
"44","",NA,NA,"F2",0.333017959629387,0.333017959629387,1,399500
"45","",NA,NA,"F12",0.333547287299887,0.333547287299887,1,400135
"46","",NA,NA,"F13",0.333547287299887,0.333547287299887,1,400135
"47","",NA,NA,"F17",0.332958774960717,0.332958774960717,1,399429
"48","",NA,NA,"F8",0.416522525601537,0.416522525601537,1,499675
"49","",NA,NA,"F0",0.416522525601537,0.416522525601537,1,499675
"50","",NA,NA,"F10",0.416522525601537,0.416522525601537,1,499675
"51","I31",NA,NA,"I44",0.0578217541168772,0.349248786578857,2.11016458449817,69365
"52","I44",NA,NA,"I31",0.0578217541168772,0.349359603926487,2.11016458449817,69365
"53","I31",NA,NA,"I46",0.0575716780520742,0.34773830382857,2.09707747739532,69065
"54","I46",NA,NA,"I31",0.0575716780520742,0.347192897790111,2.09707747739532,69065
"55","I31",NA,NA,"I27",0.0577767404252127,0.348976899683806,2.10454697800256,69311
"56","I27",NA,NA,"I31",0.0577767404252127,0.348429550984296,2.10454697800256,69311
"57","I31",NA,NA,"I34",0.0577792411858607,0.348992004511308,2.10651241695182,69314
"58","I34",NA,NA,"I31",0.0577792411858607,0.348754949760248,2.10651241695182,69314
"59","I31",NA,NA,"I38",0.0576033543536159,0.347929631643607,2.09898047128672,69103
"60","I38",NA,NA,"I31",0.0576033543536159,0.347507958139933,2.09898047128672,69103
"61","I31",NA,NA,"I25",0.0577533999924977,0.348835921293779,2.1056338674016,69283
"62","I25",NA,NA,"I31",0.0577533999924977,0.348609496782244,2.1056338674016,69283
"63","I31",NA,NA,"I20",0.0577925785759835,0.349072563591324,2.10744402417593,69330
"64","I20",NA,NA,"I31",0.0577925785759835,0.348909186985733,2.10744402417593,69330
"65","I31",NA,NA,"I47",0.0579401234542173,0.349963748413993,2.11182531767575,69507
